title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/25911055'>The Young Martyr</a>,DangersUntoldHardshipsUnnumbered,Completed,2376,1775,601,26087,Explicit,22698,15,2020-08-29,"Art, Post-Canon"
<a href='https://archiveofourown.org/works/43183870'>The Miracles of the Halo</a>,TheBlueMoonStories,Completed,2169,1866,303,47591,Mature,105156,40,2023-01-09,"Post-Season/Series 02, Emotional Hurt/Comfort, Healing, Love Confessions, Forgiveness, Angels, Magical Pregnancy, Miracles, Family Dynamics, Light Angst, Blood and Injury, Blood and Violence, Character Death, Lesbian Sex, Sex"
<a href='https://archiveofourown.org/works/30448410'>Silentium Instrumentum</a>,GleeCastOST,Completed,2046,1548,498,36845,Mature,81609,35,2021-07-08,"Assassin AU, Angst, More angst, Some humour, this is going to be kind of dark, Some Fluff, Enemies to Lovers"
<a href='https://archiveofourown.org/works/43331556'>An Ex For Christmas</a>,heartinvacancy,Completed,2010,1810,200,29263,Mature,41890,13,2023-01-05,"Friends to Lovers, they love each other your honor, no beta we die like shutgun mary, Smut, Eventual Smut, Explicit Sexual Content, Slow Burn, oblivious Ava, like really fucking oblivious, pinning Beatrice"
<a href='https://archiveofourown.org/works/29069901'>Processing</a>,puppybusby,Completed,2003,1849,154,29953,Teen And Up Audiences,35341,4,2021-02-10,"Training, Sharing a Bed, Found Family, ava processes a lot of trauma, Sleepy Cuddles, Nightmares, Making Out, Accidental Choking, as a treat, Praise Kink"
<a href='https://archiveofourown.org/works/43478386'>You Could Make This Place Beautiful</a>,mixtapesandsunsets,Completed,1783,1504,279,26171,Teen And Up Audiences,70053,19,2023-02-16,"Alternate Universe - Canon Divergence, Alternate Season/Series 02, Internalized Homophobia, Fluff, Hurt/Comfort, Swearing, Canon-Typical Violence, Blood and Injury, Angst"
"<a href='https://archiveofourown.org/works/43183590'>uh oh, i'm falling in love</a>",for_evermores,Completed,1772,1649,123,23191,Teen And Up Audiences,20510,6,2022-12-08,"Not Canon Compliant, aka they haven't gotten involved w the samaritans, they haven't gotten called back in, they're just chilling in the alps, scenes from the show will be included, but context/timeline will be altered for Reasons, 5+1 Things, Friends to Lovers, bisexual disaster ava silva, oblivious lesbian sister beatrice, Humor, (I tried), Fluff, Fluff and Humor, Sharing a Bed, Jealousy, First Kiss"
<a href='https://archiveofourown.org/works/36300724'>Worship</a>,puppybusby,Completed,1763,1527,236,41149,Explicit,82326,5,2022-05-11,"Cuddling & Snuggling, General Shenanigans, Baking, we're finally here folks, First Time, the girls are horny, except mary - Freeform, Mary is just vibing and being an agent of chaos, as she should, Other Additional Tags to Be Added"
<a href='https://archiveofourown.org/works/27457942'>paradise lost (and found)</a>,avatricefeels,Completed,1724,1262,462,31378,Teen And Up Audiences,89079,21,2021-05-02,"Angst, Fluff, Emotional Hurt/Comfort, Pre-Canon, Alternate Universe - Pre-Canon, Alternate Universe - Boarding School, the first half is mostly fluff, after that its angsty, Angst with a Happy Ending, a study of how s1 and 2 would play out if ava and bea already dated, ava's mum is awesome by the way and we love her, also kind of how ava would be if she had a loving upbringing, did I mention found family"
<a href='https://archiveofourown.org/works/43793466'>if we could take it all off and just exist</a>,socallmedaisy,Completed,1724,1496,228,14015,Not Rated,32605,2,2023-01-02,"slowburn, Switzerland, there's only one bed, Happy Ending, they're in love they're just idiots"
<a href='https://archiveofourown.org/works/31971451'>Discovery</a>,puppybusby,Completed,1720,1453,267,29195,Mature,65159,5,2021-12-23,"Found Family, Body Exploration, Angst, Hurt/Comfort, Light dom/sub undertones, Major Character Injury, Violence, Injury Recovery, Trauma Recovery"
<a href='https://archiveofourown.org/works/26800210'>Hogwarts vs. Ilvermorny</a>,Aemeth,Completed,1590,1417,173,16228,Mature,22489,7,2022-10-18,"Alternate Universe - Ilvermorny, Ilvermorny, Hogwarts, Alternate Universe - Hogwarts, yes that's right - Freeform, both!, Quidditch, elder gays Mary and Shannon, I had no intention to include Lilith/Camila but then a reader pointed out I already have"
<a href='https://archiveofourown.org/works/30497163'>Vows</a>,puppybusby,Completed,1582,1435,147,25912,Explicit,27553,4,2021-04-20,"Found Family, Road Trips, Nudity, Exploration, Mutual Masturbation, Kinda, choking as a treat"
<a href='https://archiveofourown.org/works/43630062'>We were born sick</a>,AtomicJellyb3an,Completed,1570,1449,121,21064,Explicit,27680,4,2022-12-21,"Slow Burn, Fluff, Eventual Smut, Gay Panic, Repressed Sister Beatrice (Warrior Nun), Praise Kink, its cute but horny, Internalized Homophobia, Soft Sister Beatrice/Ava Silva"
<a href='https://archiveofourown.org/works/31093598'>Declarations</a>,puppybusby,Completed,1485,1341,144,24162,Mature,38090,3,2021-05-21,"Found Family, Road Trips, Drinking & Talking, Drunken Shenanigans, i love that that's a tag, Grinding, Bar Room Brawl, Declarations Of Love"
<a href='https://archiveofourown.org/works/43701712'>everyone but you</a>,box_xx,Completed,1462,1301,161,19555,Mature,34469,12,2023-01-01,"Hurt/Comfort, Amnesia, Angst, Angst and Hurt/Comfort, Happy Ending"
<a href='https://archiveofourown.org/works/44165305'>eternal silence of these infinite spaces</a>,lovepotionnumber5,Completed,1461,1166,295,11967,Mature,51302,4,2023-02-05,"Alternate Universe: The Martian Fusion, Angst, Very brief suicidal thought, putting my dolls into a tin can and throwing it into space"
<a href='https://archiveofourown.org/works/29143812'>The Thorn</a>,GleeCastOST,Completed,1457,1098,359,21459,Mature,82683,30,2021-05-12,"AU, Pirates, Enemies to Lovers, Angst, Angst and Humor"
<a href='https://archiveofourown.org/works/44022102'>Enchanting</a>,AtomicJellyb3an,Completed,1451,1165,286,19235,Explicit,109053,7,2023-02-14,"Alternate Universe - Harry Potter Setting, but you don't need to know anything about harry potter to read, Enemies to Lovers, Smut, They Flip Flop, Ava has a praise kink, its basically canon guys, Ava Silva Being a Dumbass, This was an excuse to put Beatrice in tweed, Beatrice-no-last-name has been given a last name, They're teachers and their students think they're in love, Fluff, Some Plot, mostly yearning, Pining, Angst, i'm such a liar there is plot now, Fuck JK Rowling, there's an epilogue now"
<a href='https://archiveofourown.org/works/43645671'>Secrets and Sins</a>,Confessor123,Completed,1429,1245,184,31889,Not Rated,69182,43,2023-02-09,"Hurt/Comfort, Blood and Injury, Healing, Soft Sister Beatrice/Ava Silva, Fluff and Angst, Sister Camila Ships It (Warrior Nun), Slow Burn, Reya is a bitch, Dark Ava (sort of), Canon-Typical Violence, Fluff and Smut, Repressed Sister Beatrice (Warrior Nun), Sister Beatrice Needs a Hug (Warrior Nun), Gay Mess Ava Silva, Ava Silva Needs a Hug, Lesbian Sex, Post Season 2, Action/Adventure, Post-Canon, Canon Compliant (maybe?), Halo is alive and a bit of a dick"
<a href='https://archiveofourown.org/works/29828931'>Worship</a>,NinesRadScreenname,Completed,1276,1160,116,25008,Mature,30598,10,2021-06-15,"Smut, Eventual Fluff, Internalized Homophobia, Angst and Hurt/Comfort, Porn With Plot, Porn with Feelings"
<a href='https://archiveofourown.org/works/27534508'>Don't leave now that you're here (stay)</a>,puppybusby,Completed,1271,1152,119,13809,Teen And Up Audiences,20915,2,2020-11-16,"Post-Season/Series 01, Flashbacks, no seriously its a lot of flashbacks, Angst, Hopeful Ending, beatrice is sad for most of it im sorry, chapter 2 is MUCH HAPPIER, First Kiss, Injury Recovery"
<a href='https://archiveofourown.org/works/27440572'>Et Fide Peccatum</a>,DangersUntoldHardshipsUnnumbered,Completed,1226,879,347,16719,Explicit,35622,16,2020-11-24,Memory Loss
<a href='https://archiveofourown.org/works/26021605'>We were cursed from the start (the second I let you into my heart)</a>,Galaxiez,Completed,1212,1121,91,11671,Teen And Up Audiences,20842,1,2020-08-21,"Alternate Universe - College/University, Mother Superion is a bartender, There might be too many puns, Ava's an idiot but I love her, They're all just doing their best ok, Shannon is alive and well as she should be"
<a href='https://archiveofourown.org/works/30086415'>I've Got the Magic in Me</a>,GrizzlyBear1710,Completed,1204,949,255,22782,Mature,152407,27,2021-06-30,"Alternate Universe - Hogwarts, Triwizard Tournament, Homophobia, Mild Language, Angst, Fluff, Found Family, Happy Ending, Alternate Universe - Magic, Alternate Universe - Harry Potter Setting, Gay Panic, Bisexual Disaster, Minor Violence, Hogwarts, Durmstrang, Beauxbatons, Slow Burn"
<a href='https://archiveofourown.org/works/25878895'>Something you need</a>,writerofwrongs,Completed,1195,1050,145,18049,Teen And Up Audiences,25583,8,2020-10-11,NA
<a href='https://archiveofourown.org/works/38731206'>Ephemeral Respite</a>,Nardragon,Completed,1144,1093,51,15803,Teen And Up Audiences,31257,7,2022-11-02,Post Season 1
<a href='https://archiveofourown.org/works/43165266'>Find a Way</a>,ForForever19,Completed,1108,1025,83,13947,Teen And Up Audiences,35998,4,2022-11-21,"Post-Season/Series 02, World Travel"
<a href='https://archiveofourown.org/works/43846650'>daydream about me</a>,burningblade,Completed,1062,956,106,15892,Explicit,26769,10,2023-01-16,"Alternate Universe - No Powers, Alternate Universe - Road Trip, Winter Holidays!, lots of fun tropes, Strangers to Lovers, Only One Bed, New Year's Eve, fast burn, Tooth-Rotting Fluff"
"<a href='https://archiveofourown.org/works/32316772'>Two Chalupas, Extra Tears</a>",GleeCastOST,Completed,1048,756,292,16633,Mature,62000,25,2022-07-09,"College AU, taco bell parking lot, Angst, Fluff, Crack, More angst, some mature themes maybe, live mas, chalupa - Freeform"
<a href='https://archiveofourown.org/works/29648820'>The Zealot</a>,GleeCastOST,Completed,1024,750,274,13592,Mature,68236,27,2021-05-27,"AU, Enemies to Lovers, cult?"
<a href='https://archiveofourown.org/works/43178142'>On the Other Side (Of This Wall)</a>,EmilyWritesStuff,Completed,1022,861,161,15753,Mature,26606,12,2023-01-05,"Series Three, Not This Fic Making Me Do Bible Study, Enjoy The Fruits of My Pain, Intense Gay Pining, in cannon, Mary Comes Back (As She Should.)"
<a href='https://archiveofourown.org/works/43672960'>i don't want a lot for christmas (there is just one thing i need)</a>,gilligankane,Completed,1016,880,136,7164,General Audiences,20397,3,2022-12-19,"Christmas, christmas in july, someone said mistletoe and i went feral, then someone said christmas market and i lost my sensibility, THEN someone said 'do they get a cat?' and i blacked out, in this house we drink the 'i respect hans' juice"
<a href='https://archiveofourown.org/works/43628742'>I Won't Run (Every Shipwreck Needs a Setting Sun)</a>,kilowyld,Completed,1013,868,145,18751,Explicit,56693,19,2023-01-18,"Alternate Universe, spy AU, Secret Agent Ava, professor bea, Alternate Universe - College/University, they're idiots your honor, Avatrice, Fluff, Fake Marriage, Fake/Pretend Relationship, Fluff and Angst, Heartache, ava is a giant fuck up so everytime things seem gucci remember there is still time for, the ava silva effect, Slow Burn, Romance, Eventual Smut, Fluff and Smut, Angst and Romance, Blood and Violence, Minor Injuries, Alternate Universe - Spies & Secret Agents, Secret Agent Beatrice"
<a href='https://archiveofourown.org/works/25470907'>This Isn't My Identity</a>,DAgron01,Completed,970,868,102,14292,Teen And Up Audiences,23260,7,2020-07-28,"Ace!Beatrice, Found Family, lots of introspection, Camila is adorable and I love her, Hurt/Comfort, Slow Burn, Awkward Romance, These characters have consumed my life"
<a href='https://archiveofourown.org/works/43466227'>almost is never enough</a>,duhnyell,Completed,938,651,287,19516,Teen And Up Audiences,58556,31,2023-01-15,"Avatrice, Villaneve, Friends to Lovers trope, Friends to Lovers, Friendship, Slow Burn, Pining, College AU, Fluff, Yearning, Fake Dating, falling for a friend, Gay Panic, warrior nun - Freeform, Avatrice AU, Wrong time wrong place, Wrong timing, maybe in a parallel universe, Angst, Heavy Angst, long stretch, first person POV, Going Through It, Pain, Heartbreak, Young Love"
<a href='https://archiveofourown.org/works/28446648'>Galaxies Can't Keep Us Apart</a>,GleeCastOST,Completed,935,591,344,18653,Teen And Up Audiences,106023,40,2021-08-08,"Science Fiction, AU, Angst, Angst and Hurt/Comfort, Fluff and Angst"
<a href='https://archiveofourown.org/works/32395543'>Judgement</a>,NinesRadScreenname,Completed,918,777,141,21590,Mature,73422,13,2022-01-01,"Porn With Plot, Fluff and Smut, Angst and Fluff and Smut, Angst and Humor, Women Being Awesome, Falling In Love"
<a href='https://archiveofourown.org/works/25623715'>Nowhere to Hide</a>,GleeCastOST,Completed,893,823,70,20199,Teen And Up Audiences,29803,17,2020-08-11,"this show is driving me crazy, maybe its the quaratine, angst and a lot of it, some fluff I guess, directly post season 1, not sure where this is going, puns"
<a href='https://archiveofourown.org/works/43686684'>Weary are the Shoulders that Bare the Crown</a>,WhiteravenGreywolf,Completed,893,724,169,16650,Mature,60641,22,2023-02-02,"priory of the orange tree au, Alternate Universe - Royalty, Queen Ava, Protector Beatrice, Slow Burn, Spoilers for the Priory of the Orange Tree, Fluff, Sharing Clothes, Sharing a Bed, Sharing Body Heat, Dragons, Fluff and Smut, Training, wlw with a sword"
<a href='https://archiveofourown.org/works/30850799'>Too Much Time and Not Enough</a>,GleeCastOST,Completed,887,594,293,13159,Teen And Up Audiences,69873,30,2022-02-26,"AU, Time Travel, Magic, Angst, some fluff im not a monster, jk yes I am, Minor Character Death"
<a href='https://archiveofourown.org/works/25868722'>The Fallout</a>,GleeCastOST,Completed,850,678,172,14935,Teen And Up Audiences,41449,23,2020-08-25,"Hurt/Comfort, Angst"
<a href='https://archiveofourown.org/works/26315716'>Between Two Worlds</a>,GleeCastOST,Completed,850,681,169,11078,Teen And Up Audiences,37607,24,2020-09-15,"Hurt/Comfort, Angst, Fluff and Angst"
<a href='https://archiveofourown.org/works/26311438'>The Recipe for Making Love</a>,DangersUntoldHardshipsUnnumbered,Completed,844,525,319,8368,Explicit,33727,20,2020-11-02,Alternate Universe - Chefs
<a href='https://archiveofourown.org/works/37195543'>Vindication</a>,NinesRadScreenname,Completed,821,628,193,14583,Mature,65153,16,2022-06-20,"Angst and Fluff and Smut, Angst and Feels, Mutual Pining, There is definitely smut, Homophobia, Blood and Violence, Blood and Torture, Mission Fic, Sacrifice, Beatrice is a badass, Lilith catches feels, Gotta read it to believe it"
<a href='https://archiveofourown.org/works/27652217'>Beneath a Flag That's Not Our Own</a>,GleeCastOST,Completed,791,540,251,13727,Teen And Up Audiences,100142,30,2021-02-01,"AU, Angst, Fluff and Angst, Intrigue?"
<a href='https://archiveofourown.org/works/43252147'>Heaven is Here</a>,kilowyld,Completed,784,697,87,16140,Mature,38190,19,2022-12-11,"Pain, Loss, Grief/Mourning, Angst, Fluff and Angst, Romantic Soulmates, Slow Burn, Jealousy, Post-Finale, Implied/Referenced Suicide, Oral Sex, Vaginal Fingering, Sex, Cunnilingus, Praise Kink, Backstory, Flashbacks, Character Development, Trauma, Recovery, Imagined Season 3, Gay Mess Sister Beatrice (Warrior Nun), she been holding back some WANTS, I wrote this entire thing to a Message to Bears album, also koda, listen while you read to feel my PAIN, Heaven & Hell, Devils, Avatrice, Plot, Action, possessed beatrice, dark beatrice"
