title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/44022102'>Enchanting</a>,AtomicJellyb3an,Completed,1451,1165,286,19235,Explicit,109053,7,2023-02-14,"Alternate Universe - Harry Potter Setting, but you don't need to know anything about harry potter to read, Enemies to Lovers, Smut, They Flip Flop, Ava has a praise kink, its basically canon guys, Ava Silva Being a Dumbass, This was an excuse to put Beatrice in tweed, Beatrice-no-last-name has been given a last name, They're teachers and their students think they're in love, Fluff, Some Plot, mostly yearning, Pining, Angst, i'm such a liar there is plot now, Fuck JK Rowling, there's an epilogue now"
<a href='https://archiveofourown.org/works/43645671'>Secrets and Sins</a>,Confessor123,Completed,1429,1245,184,31889,Not Rated,69182,43,2023-02-09,"Hurt/Comfort, Blood and Injury, Healing, Soft Sister Beatrice/Ava Silva, Fluff and Angst, Sister Camila Ships It (Warrior Nun), Slow Burn, Reya is a bitch, Dark Ava (sort of), Canon-Typical Violence, Fluff and Smut, Repressed Sister Beatrice (Warrior Nun), Sister Beatrice Needs a Hug (Warrior Nun), Gay Mess Ava Silva, Ava Silva Needs a Hug, Lesbian Sex, Post Season 2, Action/Adventure, Post-Canon, Canon Compliant (maybe?), Halo is alive and a bit of a dick"
<a href='https://archiveofourown.org/works/43165266'>Find a Way</a>,ForForever19,Completed,1108,1025,83,13947,Teen And Up Audiences,35998,4,2022-11-21,"Post-Season/Series 02, World Travel"
<a href='https://archiveofourown.org/works/43846650'>daydream about me</a>,burningblade,Completed,1062,956,106,15892,Explicit,26769,10,2023-01-16,"Alternate Universe - No Powers, Alternate Universe - Road Trip, Winter Holidays!, lots of fun tropes, Strangers to Lovers, Only One Bed, New Year's Eve, fast burn, Tooth-Rotting Fluff"
<a href='https://archiveofourown.org/works/43178142'>On the Other Side (Of This Wall)</a>,EmilyWritesStuff,Completed,1022,861,161,15753,Mature,26606,12,2023-01-05,"Series Three, Not This Fic Making Me Do Bible Study, Enjoy The Fruits of My Pain, Intense Gay Pining, in cannon, Mary Comes Back (As She Should.)"
<a href='https://archiveofourown.org/works/43672960'>i don't want a lot for christmas (there is just one thing i need)</a>,gilligankane,Completed,1016,880,136,7164,General Audiences,20397,3,2022-12-19,"Christmas, christmas in july, someone said mistletoe and i went feral, then someone said christmas market and i lost my sensibility, THEN someone said 'do they get a cat?' and i blacked out, in this house we drink the 'i respect hans' juice"
<a href='https://archiveofourown.org/works/43628742'>I Won't Run (Every Shipwreck Needs a Setting Sun)</a>,kilowyld,Completed,1013,868,145,18751,Explicit,56693,19,2023-01-18,"Alternate Universe, spy AU, Secret Agent Ava, professor bea, Alternate Universe - College/University, they're idiots your honor, Avatrice, Fluff, Fake Marriage, Fake/Pretend Relationship, Fluff and Angst, Heartache, ava is a giant fuck up so everytime things seem gucci remember there is still time for, the ava silva effect, Slow Burn, Romance, Eventual Smut, Fluff and Smut, Angst and Romance, Blood and Violence, Minor Injuries, Alternate Universe - Spies & Secret Agents, Secret Agent Beatrice"
<a href='https://archiveofourown.org/works/43466227'>almost is never enough</a>,duhnyell,Completed,938,651,287,19516,Teen And Up Audiences,58556,31,2023-01-15,"Avatrice, Villaneve, Friends to Lovers trope, Friends to Lovers, Friendship, Slow Burn, Pining, College AU, Fluff, Yearning, Fake Dating, falling for a friend, Gay Panic, warrior nun - Freeform, Avatrice AU, Wrong time wrong place, Wrong timing, maybe in a parallel universe, Angst, Heavy Angst, long stretch, first person POV, Going Through It, Pain, Heartbreak, Young Love"
<a href='https://archiveofourown.org/works/43686684'>Weary are the Shoulders that Bare the Crown</a>,WhiteravenGreywolf,Completed,893,724,169,16650,Mature,60641,22,2023-02-02,"priory of the orange tree au, Alternate Universe - Royalty, Queen Ava, Protector Beatrice, Slow Burn, Spoilers for the Priory of the Orange Tree, Fluff, Sharing Clothes, Sharing a Bed, Sharing Body Heat, Dragons, Fluff and Smut, Training, wlw with a sword"
<a href='https://archiveofourown.org/works/43252147'>Heaven is Here</a>,kilowyld,Completed,784,697,87,16140,Mature,38190,19,2022-12-11,"Pain, Loss, Grief/Mourning, Angst, Fluff and Angst, Romantic Soulmates, Slow Burn, Jealousy, Post-Finale, Implied/Referenced Suicide, Oral Sex, Vaginal Fingering, Sex, Cunnilingus, Praise Kink, Backstory, Flashbacks, Character Development, Trauma, Recovery, Imagined Season 3, Gay Mess Sister Beatrice (Warrior Nun), she been holding back some WANTS, I wrote this entire thing to a Message to Bears album, also koda, listen while you read to feel my PAIN, Heaven & Hell, Devils, Avatrice, Plot, Action, possessed beatrice, dark beatrice"
